销售单号,商品编码,商品名称,单位,拣货数量,长cm,宽cm,高cm,计算规则（L/kg),规则体积推算L,规格体积L,规则体积补充,备注：长宽高为一组；计算规则为二组；规则体积推算为三组；规则体积L+规则体积补充为四组
OM25062900005810,1639732,鲜公鸡(整)（烧毛）,KG,3.0,,,,2.5,,,,
OM25062900004530,787458,[彩食鲜]香菜,KG,1.6,,,,6.0,,,,
OM25062900005911,852439,[彩食鲜]黄瓜,KG,1.2,,,,2.0,,,,
OM25062900004417,1226146,冲浆嫩豆腐 1kg,包,6.0,20.0,20.0,3.6,,,,,
OM25062900005899,317189,黄葱,KG,0.5,,,,4.0,,,,
OM25062900005005,1483637,冷鲜五花肉(烧毛),KG,7.88,,,,1.5,,,,
OM25062900004530,858298,家乐辣鲜露调味料930g,瓶,1.0,22.2,12.0,4.0,,,,,
OM25062900005911,787458,[彩食鲜]香菜,KG,0.15,,,,6.0,,,,
OM25062700007409,1169084,鲜二刀肉后腿去皮,KG,7.05,,,,1.8,,,,
OM25062900000330,1033733,牛心菜,KG,15.23,,,,4.0,,,,
OM25062700006102,912526,天友净燃烧酸奶风味发酵乳208g,瓶,20.0,8.0,8.0,12.0,,,,,
OM25062700005980,1271536,[彩食鲜]空心菜,KG,10.58,,,,7.0,,,,
TOWB69250629001491,2014295,中粗辣椒面(辣)0.5kg,包,8.0,21.0,8.5,1.0,,,,,
TOWB69250629000473,2014540,红糖板0.5kg,袋,1.0,7.0,7.0,20.0,,,,,
TOWB69250629000473,2015071,饭豆1kg,袋,1.0,15.0,5.0,20.0,,,,,
OM25062900006047,1180221,雀巢黑加仑味果维840g,袋,1.0,25.0,14.0,3.0,,,,,
OM25062700003840,1526360,家鑫粘蝇板10片装,袋,5.0,,,,,,0.9,0,
OM25062900005633,1610820,冷鲜梅花肉(黑猪),KG,1.44,,,,1.5,,,,
OM25062700006552,1122813,鲜前排切块（约3*4cm）,KG,5.52,,,,2.8,,,,
OM25062900003575,1493135,热鲜三黄鸡切块(约3*3cm),KG,10.26,,,,2.5,,,,
OM25062800005892,1275639,热鲜整兔去皮切块(约1*1cm),KG,7.92,,,,3.0,,,,
OM25062900000305,1211346,长茄,KG,13.24,,,,4.5,,,,
OM25062900000330,1258261,鲜五花肉,KG,10.3,,,,1.8,,,,
OM25062900003965,1182504,鲜纤排切块,KG,5.4,,,,2.8,,,,
OM25062900004768,1475971,鲜五花肉（整块）,KG,1.47,,,,1.8,,,,
OM25062900003572,1493310,热鲜三黄鸡净膛烧毛,KG,10.24,,,,2.5,,,,
OW25062600000205,1191435,蒜米机剥,KG,2.04,,,,2.5,,,,
OM25062700001729,1245841,鲜瘦肉（前腿）,KG,0.63,,,,1.8,,,,
OW25062700000065,983387,冬瓜（去皮),KG,5.0,,,,3.5,,,,
OM25062700005094,570,南瓜,KG,3.17,,,,1.6,,,,
OM25062700006006,1064292,[彩食鲜]水白菜,KG,10.04,,,,7.0,,,,
OM25062700007073,1070711,彩食鲜干银耳花,KG,1.0,,,,30.0,,,,
OM25062700006409,787458,[彩食鲜]香菜,KG,1.06,,,,6.0,,,,
OM25062700007492,563,苦瓜,KG,2.68,,,,2.0,,,,
OM25062700005588,1531897,苕皮（KG）,KG,1.5,,,,2.5,,,,
OM25062700007627,1902088,白心火龙果(400-500g),KG,6.33,,,,2.0,,,,
OM25062700007669,1610820,冷鲜梅花肉(黑猪),KG,1.0,,,,1.5,,,,
OM25062700006632,1420038,圆西葫芦,KG,4.34,,,,2.9,,,,
OW25062700000087,1459539,黄豆1KG,袋,1.0,15.0,5.0,20.0,,,,,
OM25062800000052,1194041,彩食鲜韭菜叶面（份）,KG,2.04,,,,2.5,,,,
OM25062800001781,2031952,咸脆桃(100-150g),KG,9.29,,,,2.5,,,,
OM25062800005125,787582,[彩食鲜]铁棍山药,KG,3.52,,,,1.5,,,,
OM25062800004215,1461234,红心火龙果(200-300g),KG,6.6,,,,2.0,,,,
OM25062800002222,1116454,蒜苗,KG,2.51,,,,4.0,,,,
OM25062800002222,1532153,薄豆干（KG）,KG,10.0,,,,2.5,,,,
OM25062800002222,1556727,熟咸鸭蛋（枚）,枚,40.0,,,,,,0.1,0,
OM25062700007750,1279445,土豆(5两以上),KG,25.07,,,,1.5,,,,
OM25062800000098,1378,烤鸭 （熟食）,KG,21.15,,,,2.5,,,,
OM25062700001729,852439,[彩食鲜]黄瓜,KG,2.0,,,,2.0,,,,
OM25062700001153,1483683,热鲜猪肉馅(4肥6瘦),KG,1.5,,,,1.8,,,,
OM25062700004711,1134349,彩食鲜干小木耳（一级）,KG,0.5,,,,30.0,,,,
OM25062700006017,317189,黄葱,KG,1.5,,,,4.0,,,,
OM25062700007492,1276101,热鲜筒骨(带肉率15%)切块(约4*5cm),KG,7.53,,,,2.8,,,,
OM25062700007492,1284806,[彩食鲜]小米椒,KG,0.56,,,,5.0,,,,
OM25062700005716,1116454,蒜苗,KG,0.52,,,,4.0,,,,
OM25062700006627,1070718,彩食鲜干豆腐皮,KG,1.5,,,,2.0,,,,
OM25062700005771,1922921,水塔糕220g/8个,包,12.0,10.0,2.0,13.0,,,,,
OM25062700007700,2007155,[彩食鲜]贝贝南瓜,KG,3.07,,,,1.6,,,,
OM25062700007073,1070734,彩食鲜白晒花生,KG,1.0,,,,3.0,,,,
OM25062700006676,1191435,蒜米机剥,KG,2.6,,,,2.5,,,,
OM25062700005370,2014729,白砂糖2.5kg,袋,1.0,23.0,9.0,20.0,,,,,
OM25062700007769,1448641,红糖馒头60g*3,包,2.0,15.0,8.0,10.0,,,,,
OW25062800000074,1584021,热鲜黄油老母鸡,KG,0.0,,,,3.0,,,,
OM25062700006456,1084643,芥菜,KG,10.8,,,,7.0,,,,
OM25062900000261,1191435,蒜米机剥,KG,1.16,,,,2.5,,,,
OM25062900000305,1291549,热鲜去油猪肚,KG,12.84,,,,2.8,,,,
OM25062900000305,608,大葱带叶,KG,6.0,,,,4.5,,,,
OM25062900000330,317132,黄皮美人椒,KG,10.02,,,,5.0,,,,
OM25062900000330,1191435,蒜米机剥,KG,5.0,,,,2.5,,,,
OM25062900001341,1415284,肉丝瓜,KG,10.2,,,,2.9,,,,
OM25062900001362,2014811,聚行家白砂糖1kg,袋,1.0,14.0,7.0,20.0,,,,,
OM25062900001452,1271536,[彩食鲜]空心菜,KG,4.04,,,,7.0,,,,
OM25062900000479,1639288,黄晶皮蛋（鸭蛋皮蛋）,个,10.0,,,,,,0.1,0,
OM25062900000521,1273597,热鲜白条鹅烧毛,KG,7.98,,,,3.0,,,,
OM25062700007703,1902087,白心火龙果(500-600g),KG,11.6,,,,2.0,,,,
OM25062700003786,1611766,[彩食鲜]进口香蕉,KG,8.99,,,,4.5,,,,
OM25062900001936,1469242,大红西红柿,KG,6.16,,,,2.5,,,,
OM25062900000975,1194041,彩食鲜韭菜叶面（份）,KG,2.04,,,,2.5,,,,
OM25062900001908,1189895,去皮甜玉米,KG,5.0,,,,3.5,,,,
OM25062900001944,1182504,鲜纤排切块,KG,2.02,,,,2.8,,,,
OM25062900003025,1174731,鲜猪肉馅(5肥5瘦),KG,1.0,,,,1.8,,,,
OM25062900003018,787458,[彩食鲜]香菜,KG,0.5,,,,6.0,,,,
OM25062900002009,1084479,西兰花,KG,12.0,,,,5.0,,,,
OM25062900002009,846698,[彩食鲜]豇豆,KG,10.6,,,,3.5,,,,
OM25062900003025,1511661,厚皮椒,KG,1.53,,,,5.0,,,,
OM25062900003025,1808399,ZY嫩豆腐1kg,包,6.0,20.0,20.0,3.6,,,,,
OM25062900003031,1161972,莲藕（切丁约1.5*1.5cm）,KG,7.5,,,,3.5,,,,
OM25062900002046,852410,[彩食鲜]西红柿,KG,1.6,,,,2.5,,,,
OM25062900002119,1131113,青小米椒,KG,0.56,,,,5.0,,,,
OM25062900002119,1068883,豌豆凉粉,KG,14.1,,,,2.5,,,,
OM25062900003159,1240808,螺丝椒,KG,1.04,,,,5.0,,,,
OM25062700006442,1167201,圣女果小番茄,KG,12.0,,,,2.5,,,,
OM25062900003245,1033733,牛心菜,KG,7.77,,,,4.0,,,,
OM25062900002253,852410,[彩食鲜]西红柿,KG,2.62,,,,2.5,,,,
OM25062900002119,2014933,干青花椒0.25kg,袋,1.0,17.0,2.0,23.0,,,,,
OM25062900002293,1630504,[彩食鲜]小黄葱,KG,1.0,,,,4.0,,,,
OM25062900003322,1176539,彩食鲜油酥豌豆,KG,1.0,,,,3.0,,,,
OM25062900003269,1271536,[彩食鲜]空心菜,KG,1.56,,,,7.0,,,,
OM25062900002307,1643148,鲜粉条,KG,1.02,,,,2.5,,,,
OM25062900003344,1628918,鲜口蘑,KG,4.8,,,,4.5,,,,
OM25062900002438,1552101,火葱（去头理净）,KG,4.0,,,,3.5,,,,
OM25062700006656,2014944,小薏米1kg,份,1.0,15.0,5.0,20.0,,,,,
OM25062900002560,1483637,冷鲜五花肉(烧毛),KG,2.08,,,,1.5,,,,
OM25062900003430,1211940,[彩食鲜]绿甘蓝,KG,1.24,,,,7.0,,,,
OM25062900003508,1796329,海白虾(全活)(30-40头/斤),KG,1.25,,,,6.0,,,,
OM25062900002616,1211346,长茄,KG,6.68,,,,4.5,,,,
OW25062900000106,852410,[彩食鲜]西红柿,KG,5.0,,,,2.5,,,,
OM25062900003673,1132965,香葱带泥,KG,0.5,,,,6.0,,,,
OM25062900003673,1216747,红头蒜苗,KG,0.51,,,,2.0,,,,
OM25062900002661,1275567,鲜三黄鸡（烧毛）,KG,50.0,,,,2.5,,,,
OM25062900002752,1182504,鲜纤排切块,KG,5.03,,,,2.8,,,,
OM25062900003772,1195900,彩食鲜老红糖,KG,2.5,,,,1.5,,,,
OM25062900002836,1211346,长茄,KG,8.02,,,,4.5,,,,
OM25062700006452,2014757,干青花椒0.5kg（一级）,袋,1.0,17.0,4.0,23.0,,,,,
OM25062900002873,1466048,水发品(牛黄喉),KG,9.0,,,,2.0,,,,
OM25062700006431,671420,[彩食鲜]木耳菜,KG,10.78,,,,7.0,,,,
OM25062900002546,1732378,热鲜牛筋皮,KG,15.0,,,,2.3,,,,
OM25062900003573,1440759,西瓜红红薯,KG,10.0,,,,2.5,,,,
OM25062900002645,1065530,火葱,KG,1.0,,,,4.0,,,,
OW25062900000106,472,莴笋杆,KG,12.2,,,,2.5,,,,
OM25062900003711,852439,[彩食鲜]黄瓜,KG,1.34,,,,2.0,,,,
OM25062900002752,1275537,热鲜老母鸡(烧毛),KG,7.06,,,,2.5,,,,
OM25062700001673,533492,康师傅泡椒牛肉桶面112g,桶,12.0,11.0,11.0,9.0,,,,,
OM25062700006102,912526,天友净燃烧酸奶风味发酵乳208g,瓶,20.0,8.0,8.0,12.0,,,,,
OM25062800004215,825420,福临门非转基因一级菜籽油5L,瓶,2.0,17.0,17.0,35.0,,,,,
OW25062600000205,1548505,精品红薯淀粉1kg,袋,1.0,26.0,20.0,3.0,,,,,
OM25062900000937,1527243,枳城四川泡酸菜2.5kg,袋,2.0,30.0,20.0,5.0,,,,,
OM25062900003322,1227738,泡小姜500g,包,2.0,17.0,13.0,4.0,,,,,
OM25062700006267,1441925,百利面包糠（黄色）1KG,包,1.0,18.0,3.0,24.0,,,,,
OM25062700006781,295870,天友纯鲜牛奶950ml,盒,6.0,9.0,6.0,20.0,,,,,
OM25062900000975,956073,正大糯米猪肉烧麦(24只)600g,袋,2.0,20.0,4.0,9.0,,,,,
OM25062700001717,1708887,酒都泡酸菜2.5KG,袋,2.0,21.0,3.5,32.0,,,,,
OM25062800001982,1300001,酒都四川大泡菜2.5kg*5,件,1.0,27.0,30.0,26.0,,,,,
OM25062900002980,1284806,[彩食鲜]小米椒,KG,0.8,,,,5.0,,,,
OM25062900003913,1258024,本地白壳蛋,KG,9.36,,,,2.0,,,,
OM25062900002999,1483190,冻鱿鱼须 板冻,KG,1.2,,,,2.5,,,,
OM25062900003788,1796329,海白虾(全活)(30-40头/斤),KG,1.25,,,,6.0,,,,
OM25062900002858,1234224,[彩食鲜]西葫芦,KG,10.1,,,,2.9,,,,
OM25062900002909,1393600,小白菜干,KG,10.05,,,,7.0,,,,
OM25062900001855,1468017,圆糯米2.5kg,袋,1.0,23.0,6.0,33.0,,,,,
OM25062700006594,986893,天友重庆老酸奶120g*4（4连杯）,板,25.0,10.0,10.0,10.0,,,,,
OM25062700007710,1226670,天友家里养头奶牛鲜牛奶750ml,瓶,1.0,31.0,7.5,7.5,,,,,
OM25062900003780,14442,海天鲜味生抽500ml,瓶,1.0,25.0,6.0,6.0,,,,,
OM25062900003213,1302625,安卡拉直意大利面500g,袋,3.0,28.0,8.0,3.0,,,,,
OM25062900001362,1747107,元宝牌(彩食鲜甄选)东北珍珠米25kg,袋,3.0,63.0,33.0,12.0,,,,,
OM25062700006451,1327588,幺麻子藤椒油500ml,瓶,10.0,20.5,6.0,6.0,,,,,
OM25062700005018,811037,山城冰爽啤酒500ml,听,12.0,16.0,6.5,6.5,,,,,
OM25062800000711,241005,华多原汁醪糟600g,瓶,2.0,10.0,10.0,14.0,,,,,
OM25062900005005,1617694,粉条,KG,2.5,,,,2.5,,,,
OM25062900005005,846698,[彩食鲜]豇豆,KG,15.12,,,,3.5,,,,
OM25062900004021,1362938,鲜二刀肉后腿烧洗,KG,28.42,,,,1.5,,,,
OM25062900005071,1347204,[彩食鲜]紫皮洋葱,KG,2.62,,,,2.0,,,,
OM25062900004069,1980488,库尔勒香梨 (130-160g),KG,7.95,,,,2.5,,,,
OM25062900005196,1830219,圣迪乐富硒蛋,KG,21.0,,,,2.0,,,,
OW25062900001145,1567544,热鲜五花肉(烧毛),KG,8.62,,,,1.8,,,,
TOW0X2250627001572,8279,恒顺香醋（B香）500ml,瓶,22.0,24.0,5.0,6.0,,,,,
OM25062900005110,2007159,[彩食鲜]粉西红柿,KG,7.68,,,,2.5,,,,
OM25062900004078,1133453,香葱水洗,KG,1.0,,,,6.0,,,,
OM25062900005343,1167201,圣女果小番茄,KG,0.5,,,,2.5,,,,
OM25062900002999,1532966,海王子散装鱼豆腐,KG,1.35,,,,2.5,,,,
OM25062900005281,1174210,脆山药,KG,1.08,,,,4.0,,,,
OM25062900004275,1279082,杨桃(100-150g),KG,0.63,,,,3.0,,,,
OM25062700006431,1135821,冻兔后腿,KG,76.0,,,,1.5,,,,
OM25062900004471,1182505,冷鲜二刀肉前腿切片(约4*5cm),KG,7.66,,,,1.5,,,,
OM25062900004327,1068773,麒麟西瓜,KG,4.5,,,,2.5,,,,
OM25062900004327,1639284,猪头肉半成品（烧毛）,KG,4.0,,,,2.5,,,,
OM25062900004346,1134337,彩食鲜红花椒,KG,1.5,,,,3.0,,,,
OM25062900004417,1271499,[彩食鲜]平包甘蓝,KG,15.12,,,,2.8,,,,
OM25062900004496,1179974,白面条（韭菜叶面）,KG,10.08,,,,2.5,,,,
OM25062900004498,1065530,火葱,KG,0.25,,,,4.0,,,,
OM25062900005573,1271536,[彩食鲜]空心菜,KG,5.02,,,,7.0,,,,
OM25062900004584,1359843,冻琵琶腿(120-130g),KG,2.56,,,,2.5,,,,
OM25062900005673,1062490,红椒,KG,1.04,,,,5.0,,,,
OM25062900005065,1661038,君意永川豆豉原味200g,袋,5.0,18.0,13.0,1.0,,,,,
OW25062900001075,1304918,海天精制料酒1.9L,瓶,1.0,28.0,10.0,10.0,,,,,
OM25062900004677,625713,白芹,KG,2.0,,,,4.0,,,,
OM25062900004384,2014466,干小木耳0.5kg(B),袋,1.0,19.0,7.0,27.0,,,,,
OM25062900005626,1271528,[彩食鲜]大葱,KG,1.0,,,,4.5,,,,
OM25062900002360,1648816,红富士苹果80#,KG,2.75,,,,2.5,,,,
OM25062900005670,852432,[彩食鲜]青椒,KG,12.5,,,,5.0,,,,
OM25062900005633,231871,好侍百梦多原味咖喱调味料100g,盒,3.0,15.0,7.5,2.2,,,,,
OM25062900005511,241005,华多原汁醪糟600g,瓶,1.0,10.0,10.0,14.0,,,,,
OM25062900005578,308912,天友大红枣酸牛奶160g,杯,47.0,8.0,8.0,12.0,,,,,
OM25062900004580,1564731,热鲜瘦肉后腿,KG,0.98,,,,1.8,,,,
OM25062900004769,1099546,薄荷叶（清洗）100g,份,3.0,,,,,0.35,,,
OM25062900004769,1667759,莴笋（切条约4*1.5*1.5cm）1.5kg,袋,11.0,,,,,5.25,,,
OM25062700004669,1258024,本地白壳蛋,KG,22.8,,,,2.0,,,,
OM25062900005778,272934,蓝月亮自然清香洁净洗衣液3kg,瓶,20.0,30.0,21.0,9.0,,,,,
OM25062900005810,408546,晶心加碘食用盐400g,袋,10.0,18.0,11.0,3.0,,,,,
OM25062900004704,257257,海天金标生抽1.9L,桶,1.0,11.0,11.0,29.5,,,,,
OM25062900003397,846698,[彩食鲜]豇豆,KG,2.72,,,,3.5,,,,
OM25062900005175,1538210,绿豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900005719,1194070,鲜瘦肉（后腿）切丝（长约4cm）,KG,2.51,,,,1.8,,,,
OM25062900005626,602081,川露江津老白干4L(60°),瓶,1.0,13.5,11.5,33.0,,,,,
OW25062900000206,266092,魔芋,KG,9.0,,,,2.5,,,,
TOWB69250629000473,2014540,红糖板0.5kg,袋,1.0,7.0,7.0,20.0,,,,,
OM25062900006022,1667759,莴笋（切条约4*1.5*1.5cm）1.5kg,袋,2.0,,,,,5.25,,,
OM25062900006023,1099517,大蒜（去皮）2.5kg,份,1.0,,,,,8.75,,,
OM25062800000599,1064292,[彩食鲜]水白菜,KG,11.76,,,,7.0,,,,
OM25062900000357,837522,天友经典原味酸牛奶160g,杯,64.0,8.0,8.0,12.0,,,,,
OM25062900002993,1877066,天友新重庆风味酸牛奶（原味）150g*8,组,6.0,20.0,10.0,12.0,,,,,
OM25062900007092,1300892,彩食鲜八角（B）,KG,0.26,,,,3.0,,,,
OM25062900004635,59324,伊利金典纯牛奶250ml*12,提,3.0,32.0,21.0,18.0,,,,,
OM25062900002011,263484,伊利儿童成长牛奶(全聪型)190ML*15,提,3.0,30.0,20.0,10.0,,,,,
OM25062700007061,1736172,热鲜牛肋条（去骨）,KG,7.56,,,,2.3,,,,
OM25062800005133,1348108,热鲜前排切块(约2*3cm),KG,10.01,,,,2.8,,,,
OM25062900003575,852432,[彩食鲜]青椒,KG,8.91,,,,5.0,,,,
OM25062900000330,852432,[彩食鲜]青椒,KG,11.98,,,,5.0,,,,
OM25062900000330,852432,[彩食鲜]青椒,KG,9.62,,,,5.0,,,,
OM25062900000330,1362944,冷鲜前腿肉(烧毛),KG,9.72,,,,1.5,,,,
OM25062900002756,1734001,鲜鹅（净膛/烧）,KG,18.96,,,,3.0,,,,
OM25062900003572,1493310,热鲜三黄鸡净膛烧毛,KG,9.78,,,,2.5,,,,
OM25062700007492,1493186,热鲜老鸭切块(约3*3cm),KG,9.69,,,,2.5,,,,
TOW0M9250623001478,402739,双嗒黑芝麻油500ml,瓶,8.0,7.0,7.0,25.0,,,,,
OM25062700000640,1211346,长茄,KG,4.16,,,,4.5,,,,
OM25062700005136,1271493,[彩食鲜]胡萝卜,KG,7.57,,,,2.0,,,,
OM25062700005767,1191435,蒜米机剥,KG,0.55,,,,2.5,,,,
OM25062700007150,1266848,油麦菜,KG,5.3,,,,7.0,,,,
OM25062700006271,2014763,红豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062700005893,1277906,冻无骨鸡腿,KG,3.5,,,,2.5,,,,
OM25062700006768,1179973,白面条（细面）,KG,5.04,,,,2.5,,,,
OM25062700006785,5768,迷你小黄瓜,KG,2.62,,,,2.0,,,,
OM25062700003500,1245841,鲜瘦肉（前腿）,KG,4.12,,,,1.8,,,,
OM25062700006694,1129953,水发笋干,KG,0.0,,,,2.0,,,,
OM25062800000098,1495777,冷鲜通排切块(约3*4cm),KG,20.0,,,,2.8,,,,
OM25062800000599,1271493,[彩食鲜]胡萝卜,KG,4.08,,,,2.0,,,,
OM25062700006594,1552045,小葱（去根清洗）,KG,1.5,,,,3.5,,,,
OM25062700001153,1064292,[彩食鲜]水白菜,KG,7.36,,,,7.0,,,,
OM25062700002881,1699567,小白糕1kg约42-47个 D+2,袋,2.0,10.0,6.0,13.0,,,,,
OM25062700005136,563,苦瓜,KG,1.6,,,,2.0,,,,
OM25062700004395,1179974,白面条（韭菜叶面）,KG,1.0,,,,2.5,,,,
OM25062700004711,1226140,手工老豆腐（泹水老豆腐）1kg,包,2.0,20.0,20.0,3.6,,,,,
OM25062700007409,1532208,圣迪乐老南沟五谷蛋,KG,21.5,,,,2.0,,,,
OM25062700007409,620,西红柿,KG,15.02,,,,2.5,,,,
OM25062700005771,1347228,[彩食鲜]黄皮美人椒,KG,7.5,,,,5.0,,,,
OM25062700006632,1065509,黄豆芽,KG,1.52,,,,5.0,,,,
OM25062700005893,1728424,素牛排丝,KG,0.25,,,,2.0,,,,
OM25062700007680,5768,迷你小黄瓜,KG,7.58,,,,2.0,,,,
OM25062700007700,1706377,[彩食鲜]地瓜叶,KG,6.06,,,,7.0,,,,
OM25062700003763,949923,仔姜,KG,10.2,,,,2.5,,,,
OW25062700000087,479,白金针菇,KG,1.5,,,,4.5,,,,
OM25062700006667,1425254,[彩食鲜]千禧小番茄,KG,4.5,,,,2.5,,,,
OM25062700002881,1360059,[彩食鲜]土豆(3两以上),KG,17.56,,,,1.5,,,,
OM25062700001814,1487557,热鲜猪杂骨,KG,1.74,,,,2.8,,,,
OM25062700006785,307,饺子皮,KG,4.52,,,,2.0,,,,
OM25062800000711,2017333,熟凉面,KG,4.04,,,,2.5,,,,
OM25062800000105,844456,土豆球（去皮）,KG,2.62,,,,3.5,,,,
OM25062800002683,1070690,彩食鲜黑豆,KG,0.5,,,,1.8,,,,
OM25062800005133,1362222,[彩食鲜]牛心菜,KG,6.12,,,,4.0,,,,
OM25062800005153,1271554,[彩食鲜]平菇,KG,1.58,,,,4.5,,,,
OM25062800000677,1232928,鸡蛋水面（细面）,KG,2.52,,,,2.5,,,,
OM25062800001089,1414373,冻鸡架,KG,6.8,,,,4.5,,,,
OM25062700007624,1922921,水塔糕220g/8个,包,7.0,10.0,2.0,13.0,,,,,
OM25062800002222,2014822,大白豆2.5kg,袋,1.0,23.0,6.0,33.0,,,,,
OM25062700002413,2014446,干秋耳0.25kg,袋,1.0,16.0,22.0,2.5,,,,,
OM25062900001261,1796329,海白虾(全活)(30-40头/斤),KG,2.5,,,,6.0,,,,
OW25062700000087,1538136,小米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062700006452,1631663,白砂糖500g,份,1.0,19.0,12.0,4.0,,,,,
OM25062700003112,1538136,小米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000305,1485969,冻鸡爪(40-50g),KG,7.08,,,,4.5,,,,
OM25062900000330,852410,[彩食鲜]西红柿,KG,3.08,,,,2.5,,,,
OM25062700004040,2014737,黄豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000357,1694671,冷鲜里脊肉(黑猪),KG,1.16,,,,1.5,,,,
OW25062900001038,1141008,彩食鲜天鹰干辣椒,KG,0.25,,,,9.0,,,,
OM25062900000365,1483683,热鲜猪肉馅(4肥6瘦),KG,3.06,,,,1.8,,,,
OM25062900000365,1532153,薄豆干（KG）,KG,2.5,,,,2.5,,,,
OM25062900001341,1643148,鲜粉条,KG,1.0,,,,2.5,,,,
OM25062900000357,1065604,胡萝卜B,KG,5.12,,,,2.0,,,,
OM25062900000376,1610820,冷鲜梅花肉(黑猪),KG,3.12,,,,1.5,,,,
OM25062900000473,1922878,黑芝麻小笼包50g*4,包,1.0,15.0,8.0,10.0,,,,,
OM25062900000535,1290408,[彩食鲜]老姜,KG,5.04,,,,4.0,,,,
OW25062900001029,852439,[彩食鲜]黄瓜,KG,2.22,,,,2.0,,,,
OM25062900000937,1271560,[彩食鲜]毛山药,KG,3.22,,,,1.5,,,,
OM25062900000975,1189895,去皮甜玉米,KG,1.8,,,,3.5,,,,
OM25062900000985,911920,鲜木耳大,KG,1.02,,,,4.5,,,,
OM25062900002009,852432,[彩食鲜]青椒,KG,5.04,,,,5.0,,,,
OM25062900003025,1062490,红椒,KG,6.08,,,,5.0,,,,
OM25062700000321,1122774,鲜瘦肉前腿切丝（约3mm）,KG,5.04,,,,1.8,,,,
OM25062900001987,1385112,红彩椒,KG,1.53,,,,5.0,,,,
OM25062900001987,1643148,鲜粉条,KG,2.02,,,,2.5,,,,
OM25062900002164,1362222,[彩食鲜]牛心菜,KG,3.86,,,,4.0,,,,
OM25062900003245,1551859,鲜瘦肉前腿切片（约5mm）,KG,2.5,,,,1.5,,,,
OM25062900003229,1465978,草鱼(杀净)(杀前2-3斤/条),KG,10.34,,,,1.8,,,,
OM25062900002098,1226146,冲浆嫩豆腐 1kg,包,4.0,20.0,20.0,3.6,,,,,
OM25062900002293,1497114,洋葱（去皮）,KG,1.54,,,,3.5,,,,
OM25062900002293,852410,[彩食鲜]西红柿,KG,2.52,,,,2.5,,,,
OM25062900002292,92,鲜牛腩,KG,3.02,,,,2.3,,,,
OM25062900003398,1284806,[彩食鲜]小米椒,KG,0.56,,,,5.0,,,,
OM25062900003519,949923,仔姜,KG,7.54,,,,2.5,,,,
OW25062900001095,1064285,[彩食鲜]油麦菜,KG,2.24,,,,7.0,,,,
OM25062700006431,1225645,新蒜苔,KG,15.2,,,,4.0,,,,
OM25062900002616,317727,正大富硒蛋,KG,21.0,,,,2.0,,,,
OM25062900002645,1436168,大蒜（直径6.5cm以上）,KG,0.27,,,,2.5,,,,
OM25062900002673,1483637,冷鲜五花肉(烧毛),KG,23.5,,,,1.5,,,,
OM25062900003031,1538224,花生米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900002562,2014763,红豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900003725,1271536,[彩食鲜]空心菜,KG,2.56,,,,7.0,,,,
OM25062900003736,1166024,[彩食鲜]西兰花,KG,4.52,,,,5.0,,,,
OM25062900003753,1131113,青小米椒,KG,0.54,,,,5.0,,,,
OW25062900000095,1135782,大米面,KG,1.5,,,,1.5,,,,
OM25062900003696,1065509,黄豆芽,KG,2.42,,,,5.0,,,,
OM25062700004040,8243,巨龙料酒480ml,瓶,6.0,25.0,6.0,6.0,,,,,
OM25062800005656,254885,达利法式香奶味软面包360g,袋,3.0,21.5,32.0,6.0,,,,,
OM25062700006667,1468017,圆糯米2.5kg,袋,2.0,23.0,6.0,33.0,,,,,
OM25062700006632,163664,李锦记财神蚝油 907g,瓶,2.0,27.0,7.0,7.0,,,,,
OM25062700005771,1540880,if椰子水1L,盒,1.0,9.0,6.0,20.0,,,,,
OM25062700006102,299193,天友纯鲜牛奶220ml,盒,50.0,4.0,4.0,20.0,,,,,
OM25062900002999,1284806,[彩食鲜]小米椒,KG,0.55,,,,5.0,,,,
OM25062900003961,949923,仔姜,KG,1.56,,,,2.5,,,,
OM25062700003786,415108,雕牌超效加酶洗衣粉4Kg,包,2.0,45.0,38.0,7.0,,,,,
OM25062900002647,302984,红蜻蜓三级香菜油5L,瓶,1.0,18.0,18.0,36.0,,,,,
OM25062700004040,1469826,百钻无铝双效泡打粉1kg,包,1.0,25.0,18.0,1.5,,,,,
OM25062700007388,1327588,幺麻子藤椒油500ml,瓶,10.0,20.5,6.0,6.0,,,,,
OM25062900003753,1227694,泡红圆椒500g,包,3.0,23.0,15.0,3.0,,,,,
OM25062900003780,1113334,江盛江津老白干440ML,瓶,1.0,24.0,7.0,7.0,,,,,
OM25062700007159,1721832,松花江锦珍珠米 22kg,袋,4.0,63.0,33.0,12.0,,,,,
OM25062700007680,867338,桥头-老火锅底料500g,袋,3.0,13.0,13.0,4.5,,,,,
OM25062900003229,1227724,泡豇豆500g,包,5.0,20.0,12.0,5.0,,,,,
